workload,frame,frame_ms,gc_bytes,gpu_ms,RR.UI,RR.Streaming,RR.IndustryTick,RR.MachineViews,RR.WeatherViews,RR.TorchRefresh,RR.PassiveTick,RR.HostileTick,RR.SurvivalTick,alloc_RR.UI,alloc_RR.Streaming,alloc_RR.IndustryTick,alloc_RR.MachineViews,alloc_RR.WeatherViews,alloc_RR.TorchRefresh,alloc_RR.PassiveTick,alloc_RR.HostileTick,alloc_RR.SurvivalTick,machine_views_created,crate_views_created,timing_timestamp,cpu_main_ms,cpu_render_ms,present_wait_ms,draw_calls,batches,set_pass,srp_draw_calls,shadow_casters
factory-192,201,47.7937,-1,47.7599,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274800953931,3.8002,1.2971,46.8729,-1,-1,61,2558,492
factory-192,202,48.1942,-1,48.0115,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274801460793,3.8211,1.1948,44.7506,-1,-1,61,2558,492
factory-192,203,48.2173,-1,47.6790,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274801946633,3.9535,1.3608,43.6811,-1,-1,61,2558,492
factory-192,204,31.3623,-1,47.6508,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274802423129,3.9132,1.3389,43.8695,-1,-1,61,2558,492
factory-192,252,37.2046,-1,5.8335,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274809026624,4.1943,1.8791,6.9035,-1,-1,61,2558,492
factory-192,253,49.2421,-1,41.3532,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274809137685,3.5804,1.1724,7.5183,-1,-1,61,2558,492
factory-192,254,49.5382,-1,48.6185,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274809248840,2.4102,1.3661,8.6863,-1,-1,61,2558,492
factory-192,255,49.0225,-1,48.5501,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274809359924,4.6978,1.3377,32.4940,-1,-1,61,2558,492
factory-192,256,47.8192,-1,48.4920,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274809731961,4.0468,1.5428,45.1832,-1,-1,61,2558,492
factory-192,257,47.7837,-1,47.6728,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274810224379,3.4003,1.2647,46.1262,-1,-1,61,2558,492
factory-192,258,28.3433,-1,47.5533,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274810719752,3.6702,1.2528,45.3567,-1,-1,61,2558,492
factory-192,319,28.4967,-1,15.3989,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274818719060,2.8215,1.4932,8.2844,-1,-1,61,2558,492
factory-192,320,48.5375,-1,27.6641,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274818830263,4.2822,1.1711,6.8055,-1,-1,61,2558,492
factory-192,321,48.9788,-1,48.6723,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274818941257,2.7200,1.1053,9.9188,-1,-1,61,2558,492
factory-192,322,49.8958,-1,48.8246,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274819067736,2.5168,4.4364,25.9930,-1,-1,61,2558,492
factory-192,323,47.6940,-1,48.3674,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274819353049,13.5713,4.3047,34.9383,-1,-1,61,2558,492
factory-192,324,47.6017,-1,47.9194,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274819838548,12.3294,2.5182,36.5947,-1,-1,61,2558,492
factory-192,325,48.4024,-1,47.4972,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274820328134,9.6545,4.5038,40.2103,-1,-1,61,2558,492
factory-192,326,48.8831,-1,47.8257,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274820827100,12.1501,2.8207,35.5020,-1,-1,61,2558,492
factory-192,390,48.7080,-1,12.6095,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274829516816,2.4677,1.2851,6.5178,-1,-1,61,2558,492
factory-192,391,48.0290,-1,47.6692,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274829606783,2.3834,2.9069,10.3233,-1,-1,61,2558,492
