workload,frame,frame_ms,gc_bytes,gpu_ms,RR.UI,RR.Streaming,RR.IndustryTick,RR.MachineViews,RR.WeatherViews,RR.TorchRefresh,RR.PassiveTick,RR.HostileTick,RR.SurvivalTick,alloc_RR.UI,alloc_RR.Streaming,alloc_RR.IndustryTick,alloc_RR.MachineViews,alloc_RR.WeatherViews,alloc_RR.TorchRefresh,alloc_RR.PassiveTick,alloc_RR.HostileTick,alloc_RR.SurvivalTick,machine_views_created,crate_views_created,timing_timestamp,cpu_main_ms,cpu_render_ms,present_wait_ms,draw_calls,batches,set_pass,srp_draw_calls,shadow_casters
stress-factory-farm-mobs-clear,289,31.7187,-1,27.7852,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222274094450,12.2321,3.8074,5.4518,-1,-1,171,7248,2431
stress-factory-farm-mobs-clear,290,31.8889,-1,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222274271418,4.7335,4.2641,23.4202,-1,-1,171,7248,2431
stress-factory-farm-mobs-clear,291,29.4815,-1,25.7119,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222274553161,29.7281,3.4265,0.0142,-1,-1,171,7248,2431
stress-factory-farm-mobs-clear,326,69.4988,-1,15.0840,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222279975673,4.7145,4.2668,14.1475,-1,-1,171,7246,2428
stress-factory-farm-mobs-clear,327,80.3367,-1,68.8451,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222280164394,13.3624,3.0442,1.2841,-1,-1,171,7245,2427
stress-factory-farm-mobs-clear,328,80.8916,-1,80.7700,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222280310975,5.0966,3.3710,13.1945,-1,-1,171,7245,2427
stress-factory-farm-mobs-clear,329,66.1528,-1,79.7553,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222280493948,4.1957,3.4475,65.3084,-1,-1,171,7245,2427
stress-factory-farm-mobs-clear,330,30.3925,-1,65.9927,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222281189188,44.3226,3.7959,35.9610,-1,-1,170,7245,2425
stress-factory-farm-mobs-clear,331,23.6820,-1,30.8283,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222281992325,12.4548,4.1133,68.4398,-1,-1,170,7242,2426
stress-factory-farm-mobs-clear,332,22.8459,-1,24.5560,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222282801477,45.6548,3.4792,20.4427,-1,-1,170,7246,2426
