phase,counter,unit,samples,median,p95,max
Raw profiler units are retained; zero or missing GPU counters do not establish GPU cost.
open every frame,Profiler.CollectUICanvasStats,TimeNanoseconds,120,200,600,700
open every frame,GC.Alloc,TimeNanoseconds,120,5000,6300,12100
open every frame,Canvas.RenderSubBatch,TimeNanoseconds,120,0,0,0
open every frame,Canvas.PrepareBatches,TimeNanoseconds,120,57900,112800,147800
open every frame,Canvas.GeometryJob,TimeNanoseconds,120,717100,874300,976400
open every frame,Canvas.PrepareBatchesJob,TimeNanoseconds,120,59200,114000,148400
open every frame,Canvas.SortJob,TimeNanoseconds,120,161100,232300,259400
open every frame,Canvas.CombineInstructionsJob,TimeNanoseconds,120,2500,3800,17900
open every frame,Canvas.SplitInstructionsJob,TimeNanoseconds,120,41700,65900,204000
open every frame,Canvas.Sort,TimeNanoseconds,120,160100,230900,257200
open every frame,CanvasRenderer.SyncClipRect,TimeNanoseconds,120,10600,13000,16800
open every frame,CanvasRenderer.SyncWorldRect,TimeNanoseconds,120,29800,34000,60000
open every frame,CanvasRenderer.SyncTransform,TimeNanoseconds,120,70100,93000,130500
open every frame,Canvas.OnAllAssetImport,TimeNanoseconds,120,0,0,0
open every frame,Canvas.BuildBatch,TimeNanoseconds,120,18300,25200,52500
open every frame,Canvas.RenderOverlays,TimeNanoseconds,120,230500,382300,412100
open every frame,GPU Frame Time,TimeNanoseconds,120,4091904,4888832,5363712
open every frame,RivetReach.UI.Rebuild,TimeNanoseconds,120,4056300,5001300,6612400
open every frame,RivetReach.UI.SlotInput,TimeNanoseconds,120,0,0,0
open every frame,RivetReach.UI.RefreshSlots,TimeNanoseconds,120,41100,68600,85200
open every frame,RivetReach.UI.BuildInventoryShell,TimeNanoseconds,120,0,0,0
open every frame,RivetReach.UI.RecipeView,TimeNanoseconds,120,0,0,0
open every frame,RivetReach.UI.RecipeFill,TimeNanoseconds,120,0,0,0
open every frame,RivetReach.UI.HideScreen,TimeNanoseconds,120,1660200,2130400,2568600
open every frame,RivetReach.UI.BindStation,TimeNanoseconds,120,134200,209000,310300
open every frame,RivetReach.UI.RefreshBinding,TimeNanoseconds,120,52400,84400,97000
open every frame,RivetReach.UI.CreateScreen,TimeNanoseconds,120,0,0,0
open every frame,EarlyUpdate.UpdateCanvasRectTransform,TimeNanoseconds,120,6800,9500,23500
open every frame,PostLateUpdate.PlayerUpdateCanvases,TimeNanoseconds,120,3223600,3887000,4586300
open every frame,UIEvents.UpdateCanvasRectTransform,TimeNanoseconds,120,7000,9500,28600
open every frame,UIEvents.AlignCanvasRectTransformWithCamera,TimeNanoseconds,120,100,100,200
open every frame,UIEvents.WillRenderCanvases,TimeNanoseconds,120,3215300,3875400,4577600
open every frame,PostLateUpdate.PlayerEmitCanvasGeometry,TimeNanoseconds,120,1700,3700,22900
open every frame,UIEvents.CanvasManagerEmitOffScreenGeometry,TimeNanoseconds,120,1000,2100,16800
open every frame,UIEvents.CanvasmanagerEmitOnScreenGeometry,TimeNanoseconds,120,300,700,1300
open every frame,UIEvents.CanvasManagerRenderOverlays,TimeNanoseconds,120,31900,45600,64200
