timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/22 12:55:07.704, 71, 300 MHz, 21 %, 14.66 W, Not Active
2026/09/22 12:55:09.746, 70, 300 MHz, 25 %, 14.29 W, Not Active
2026/09/22 12:55:11.791, 69, 300 MHz, 12 %, 12.82 W, Not Active
2026/09/22 12:55:13.822, 68, 300 MHz, 8 %, 7.82 W, Not Active
2026/09/22 12:55:15.861, 68, 300 MHz, 4 %, 13.61 W, Not Active
2026/09/22 12:55:17.901, 68, 300 MHz, 4 %, 13.66 W, Not Active
2026/09/22 12:55:19.935, 67, 300 MHz, 4 %, 7.50 W, Not Active
2026/09/22 12:55:21.968, 67, 300 MHz, 3 %, 7.33 W, Not Active
2026/09/22 12:55:24.002, 66, 300 MHz, 4 %, 7.43 W, Not Active
2026/09/22 12:55:26.045, 66, 300 MHz, 4 %, 7.45 W, Not Active
2026/09/22 12:55:28.088, 66, 300 MHz, 0 %, 7.64 W, Not Active
2026/09/22 12:55:30.123, 65, 300 MHz, 0 %, 7.21 W, Not Active
2026/09/22 12:55:32.161, 65, 300 MHz, 0 %, 7.25 W, Not Active
2026/09/22 12:55:34.203, 65, 300 MHz, 0 %, 8.66 W, Not Active
2026/09/22 12:55:36.239, 64, 300 MHz, 4 %, 7.32 W, Not Active
2026/09/22 12:55:38.269, 64, 300 MHz, 4 %, 7.33 W, Not Active
2026/09/22 12:55:40.305, 64, 300 MHz, 5 %, 6.99 W, Not Active
2026/09/22 12:55:42.340, 64, 300 MHz, 2 %, 7.16 W, Not Active
2026/09/22 12:55:44.377, 63, 300 MHz, 0 %, 7.12 W, Not Active
2026/09/22 12:55:46.409, 63, 300 MHz, 0 %, 7.08 W, Not Active
2026/09/22 12:55:48.455, 63, 300 MHz, 0 %, 6.82 W, Not Active
2026/09/22 12:55:50.496, 62, 300 MHz, 3 %, 6.88 W, Not Active
2026/09/22 12:55:52.532, 62, 300 MHz, 4 %, 6.54 W, Not Active
2026/09/22 12:55:54.567, 63, 375 MHz, 0 %, 17.53 W, Not Active
2026/09/22 12:55:56.615, 77, 1875 MHz, 53 %, 101.94 W, Not Active
2026/09/22 12:55:58.694, 81, 1635 MHz, 75 %, 95.71 W, Active
2026/09/22 12:56:00.715, 81, 1425 MHz, 81 %, 83.11 W, Active
2026/09/22 12:56:02.730, 82, 1545 MHz, 84 %, 89.03 W, Active
2026/09/22 12:56:04.759, 83, 1155 MHz, 92 %, 72.79 W, Active
2026/09/22 12:56:06.778, 83, 1395 MHz, 91 %, 80.95 W, Active
2026/09/22 12:56:08.801, 82, 1605 MHz, 92 %, 76.82 W, Active
2026/09/22 12:56:10.831, 82, 1035 MHz, 88 %, 60.19 W, Active
2026/09/22 12:56:12.854, 79, 1005 MHz, 88 %, 39.17 W, Not Active
2026/09/22 12:56:14.993, 82, 1620 MHz, 95 %, 53.06 W, Not Active
2026/09/22 12:56:17.009, 83, 1320 MHz, 95 %, 75.10 W, Active
2026/09/22 12:56:19.030, 85, 1680 MHz, 89 %, 108.05 W, Not Active
2026/09/22 12:56:21.046, 83, 1245 MHz, 94 %, 68.80 W, Active
2026/09/22 12:56:23.063, 82, 1110 MHz, 89 %, 63.35 W, Active
2026/09/22 12:56:25.110, 86, 1440 MHz, 93 %, 98.71 W, Not Active
2026/09/22 12:56:27.145, 84, 1290 MHz, 94 %, 73.09 W, Active
2026/09/22 12:56:29.169, 84, 1410 MHz, 95 %, 82.02 W, Not Active
2026/09/22 12:56:31.203, 81, 1005 MHz, 94 %, 41.22 W, Not Active
2026/09/22 12:56:33.268, 81, 1005 MHz, 96 %, 41.38 W, Not Active
2026/09/22 12:56:35.312, 81, 1005 MHz, 96 %, 41.28 W, Not Active
2026/09/22 12:56:37.364, 81, 1005 MHz, 97 %, 40.86 W, Not Active
2026/09/22 12:56:39.398, 86, 1380 MHz, 96 %, 105.24 W, Not Active
2026/09/22 12:56:41.420, 84, 1080 MHz, 94 %, 64.01 W, Active
2026/09/22 12:56:43.441, 85, 1245 MHz, 95 %, 72.11 W, Active
2026/09/22 12:56:45.459, 87, 1725 MHz, 96 %, 107.40 W, Not Active
2026/09/22 12:56:47.477, 86, 705 MHz, 95 %, 105.82 W, Active
2026/09/22 12:56:49.497, 83, 1380 MHz, 93 %, 56.37 W, Active
2026/09/22 12:56:51.522, 84, 1110 MHz, 96 %, 65.07 W, Active
2026/09/22 12:56:53.546, 84, 1215 MHz, 94 %, 65.59 W, Active
2026/09/22 12:56:55.558, 88, 1710 MHz, 96 %, 76.11 W, Not Active
2026/09/22 12:56:57.578, 85, 1140 MHz, 95 %, 69.04 W, Active
2026/09/22 12:56:59.601, 85, 1665 MHz, 97 %, 57.23 W, Not Active
2026/09/22 12:57:01.614, 86, 525 MHz, 61 %, 84.01 W, Active
2026/09/22 12:57:03.632, 83, 1065 MHz, 92 %, 42.17 W, Not Active
2026/09/22 12:57:05.666, 85, 1110 MHz, 96 %, 67.10 W, Active
2026/09/22 12:57:07.690, 86, 1275 MHz, 96 %, 64.03 W, Active
2026/09/22 12:57:09.722, 87, 1725 MHz, 94 %, 71.82 W, Not Active
2026/09/22 12:57:11.738, 85, 1290 MHz, 95 %, 69.33 W, Active
2026/09/22 12:57:13.769, 84, 300 MHz, 97 %, 56.46 W, Active
2026/09/22 12:57:15.790, 84, 300 MHz, 96 %, 56.45 W, Active
2026/09/22 12:57:17.812, 85, 300 MHz, 96 %, 58.06 W, Active
2026/09/22 12:57:19.832, 86, 315 MHz, 95 %, 77.58 W, Active
2026/09/22 12:57:21.860, 86, 885 MHz, 95 %, 74.42 W, Active
2026/09/22 12:57:23.875, 87, 300 MHz, 96 %, 79.68 W, Active
2026/09/22 12:57:25.899, 84, 300 MHz, 97 %, 43.05 W, Active
2026/09/22 12:57:27.929, 84, 300 MHz, 97 %, 50.85 W, Active
2026/09/22 12:57:29.948, 84, 300 MHz, 95 %, 54.76 W, Active
2026/09/22 12:57:31.967, 84, 300 MHz, 96 %, 52.57 W, Active
2026/09/22 12:57:33.986, 85, 435 MHz, 93 %, 75.01 W, Active
2026/09/22 12:57:36.132, 87, 390 MHz, 94 %, 82.16 W, Active
2026/09/22 12:57:38.187, 87, 330 MHz, 96 %, 79.63 W, Active
2026/09/22 12:57:40.233, 86, 300 MHz, 96 %, 79.81 W, Active
2026/09/22 12:57:42.315, 86, 300 MHz, 94 %, 74.36 W, Active
2026/09/22 12:57:44.341, 87, 330 MHz, 96 %, 79.94 W, Active
2026/09/22 12:57:46.387, 86, 360 MHz, 97 %, 81.77 W, Active
2026/09/22 12:57:48.422, 86, 300 MHz, 96 %, 79.57 W, Active
2026/09/22 12:57:50.490, 87, 300 MHz, 95 %, 79.79 W, Active
2026/09/22 12:57:52.533, 84, 300 MHz, 96 %, 59.96 W, Active
