timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/22 11:45:41.661, 53, 1005 MHz, 0 %, 14.27 W, Not Active
2026/09/22 11:45:43.713, 59, 1920 MHz, 87 %, 58.15 W, Not Active
2026/09/22 11:45:45.754, 60, 1920 MHz, 1 %, 55.19 W, Not Active
2026/09/22 11:45:47.790, 63, 1920 MHz, 33 %, 76.63 W, Not Active
2026/09/22 11:45:49.822, 62, 1560 MHz, 36 %, 53.41 W, Not Active
2026/09/22 11:45:51.869, 62, 1470 MHz, 37 %, 49.57 W, Not Active
2026/09/22 11:45:53.907, 63, 1485 MHz, 39 %, 51.00 W, Not Active
2026/09/22 11:45:55.948, 64, 1530 MHz, 40 %, 54.03 W, Not Active
2026/09/22 11:45:57.987, 65, 1560 MHz, 40 %, 56.25 W, Not Active
2026/09/22 11:46:00.023, 67, 1665 MHz, 40 %, 62.83 W, Not Active
2026/09/22 11:46:02.057, 69, 1665 MHz, 39 %, 63.92 W, Not Active
2026/09/22 11:46:04.094, 70, 1710 MHz, 40 %, 69.40 W, Not Active
2026/09/22 11:46:06.116, 73, 1800 MHz, 40 %, 79.74 W, Not Active
2026/09/22 11:46:08.145, 79, 1875 MHz, 41 %, 99.21 W, Not Active
2026/09/22 11:46:10.181, 80, 1800 MHz, 42 %, 92.74 W, Active
2026/09/22 11:46:12.208, 80, 1755 MHz, 42 %, 88.68 W, Active
2026/09/22 11:46:14.228, 80, 1740 MHz, 42 %, 80.73 W, Active
2026/09/22 11:46:16.242, 81, 1770 MHz, 41 %, 85.44 W, Active
2026/09/22 11:46:18.266, 81, 1740 MHz, 42 %, 85.30 W, Active
2026/09/22 11:46:20.286, 81, 1755 MHz, 42 %, 85.36 W, Active
2026/09/22 11:46:22.315, 81, 1710 MHz, 42 %, 81.78 W, Active
2026/09/22 11:46:24.329, 81, 1740 MHz, 42 %, 82.38 W, Active
2026/09/22 11:46:26.349, 81, 1785 MHz, 42 %, 83.74 W, Not Active
2026/09/22 11:46:28.376, 82, 1725 MHz, 42 %, 83.03 W, Active
